# 简拼索引（自动生成，改词库后重跑 scripts/gen-jianpin-index.py）
# 格式：编码	词	权重
mqmb	明确目标	199
mqmbj	没钱没背景	100
mqmch	没钱买车	100
mqmd	明敲明打	1
mqmf	没钱买房	100
mqmf	没钱没房	100
mqmfy	毛颧墨粉蝇	1
mqmg	没亲没故	100
mqmg	马去马归	1
mqmh	幕前幕后	550
mqmh	忙前忙后	100
mqmh	门前门后	100
mqmjj	闽清毛脚鸡	1
mqml	没钱没理	100
mqml	眉清目朗	100
mqml	暮气朦胧	100
mqml	木球马陆	1
mqmljq	民权门立交桥	1
mqmm	米奇妙妙	100
mqmn	满清末年	100
mqmq	没钱没权	100
mqmrm	没钱没人脉	100
mqmsh	没钱没势	100
mqmsh	没权没势	100
mqmshj	没钱没时间	100
mqmt	卖俏门庭	100
mqmx	眉清目秀	5645
mqmx	没情没绪	100
mqmx	目清眉秀	100
mqmy	美其名曰	11090
mqmy	没钱买药	100
mqmy	母其弥雅	100
mqmyf	没钱买衣服	100
mqmyjh	目前没有计划	100
mqmytxy	目前没有特效药	100
mqmyzhj	目前没有证据	100
mqmz	没起名字	100
mqmzh	没轻没重	445
mqn	曼奇尼	100
mqn	没起呢	100
mqn	没欠你	100
mqn	没去拿	75
mqn	马切纳	16
mqn	马奇诺	2
mqn	玛琪诺	1
mqnd	明确年度	100
mqnfx	马其诺防线	610
mqnfx	马奇诺防线	1
mqnh	满腔怒火	1495
mqnq	没欠你钱	100
mqny	勉强能用	100
mqp	没钱赔	100
mqp	明鲭培	100
mqp	磨起泡	100
mqp	门前牌	2
mqph	密切配合	62790
mqprjq	莫遣旁人惊去	2
mqpsh	马前泼水	31
mqq	木器漆	5955
mqq	木七七	109
mqq	买气球	100
mqq	买秋千	100
mqq	没情趣	100
mqq	门前清	100
mqq	蒙淇淇	100
mqq	默契球	100
mqqd	明确强调	100
mqqk	目前情况	5425
mqqkzxd	摸清情况再行动	8
mqqs	摩乔球螋	1
mqqshkyl	门前秋水可扬舲	2
mqqxd	门前清限定	100
mqqzm	门前清自摸	100
mqqzmh	门前清自摸和	100
mqr	每千人	4270
mqr	没钱人	100
mqr	没情人	100
mqr	缪骞人	100
mqr	没确认	79
mqrb	麻雀肉饼	4
mqrch	满腔热忱	1870
mqrq	满腔热情	12165
mqrsh	门前若市	1
mqrw	明确任务	11905
mqry	明齐日月	1
mqrzh	满腔热枕	8
mqs	喵千岁	149
mqs	没气色	100
mqs	没去送	100
mqs	默奇森	100
mqs	缪荃孙	6
mqsb	门前三包	3780
mqsh	米泉市	1255
mqsh	马钱属	100
mqsh	没气势	100
mqsh	没钱时	100
mqsh	没情商	100
mqsh	明确说	62
mqsh	目前是	12
mqshb	母亲身边	100
mqshch	目前市场	100
mqshchhq	目前市场行情	100
mqshd	满清时代	100
mqshdkx	满清十大酷刑	100
mqshh	默契神会	1
mqshj	鸣枪示警	650
mqshn	莫欺少年	100
mqshn	默契圣女	100
mqshnq	莫欺少年穷	100
mqshq	明确授权	4285
mqshr	目前收入	1130
mqshsh	母亲是说	100
mqshth	母亲是条河	1
mqshx	没钱上学	100
mqshzhy	目前是这样	100
mqsl	谋取私利	13910
mqsl	牟取私利	1840
mqssh	糜躯碎首	1
mqst	曼切斯特	100
mqst	没去送他	100
mqst	没去送她	100
mqsx	麻雀虽小	3630
mqsx	民权思想	100
mqsxwzjq	麻雀虽小五脏俱全	314
mqszd	目前所在地	100
mqt	没前途	2520
mqt	煤气筒	100
mqt	没钱途	100
mqt	某群体	100
mqt	面球汤	1
mqtch	明确提出	60835
mqtd	名气太大	480
mqtd	明确态度	100
mqtg	勉强通过	630
mqtl	门墙桃李	6
mqts	民情土俗	1
mqtsh	马前投顺	100
mqty	勉强同意	1725
mqw	每千瓦	5790
mqw	没欠我	100
mqw	煤球王	100
mqw	没趣味	100
mqw	名权位	100
mqw	脉气湾	65
mqw	梦琴湾	7
mqwch	勉强维持	4500
mqwch	满清王朝	100
mqwd	酶切位点	260
mqwg	目前我国	100
mqwgzh	门前万竿竹	2
mqwks	米奇沃克斯	100
mqwl	民情物理	100
mqwm	目前我们	155
mqwq	没欠我钱	100
mqwzh	目前为止	100
mqx	明确性	3005
mqx	民勤县	2000
mqx	民权县	1715
mqx	闽清县	1370
mqx	玛曲县	950
mqx	玛沁县	655
mqx	没情绪	100
mqx	没权限	100
mqx	蒙浅雪	100
mqx	闵庆勋	100
mqx	墨清弦	100
mqx	米泉县	90
mqx	梅岐乡	8
mqx	马泉乡	7
mqx	玛曲乡	2
mqx	万俟卨	2
mqx	马前乡	1
mqx	麻邛乡	1
mqx	妙泉乡	1
mqxd	猛禽小队	100
mqxd	明确行动	100
mqxg	密切相关	101170
mqxj	卖俏行奸	100
mqxj	门前嗅觉	100
mqxl	慕强心理	1111
mqxl	密切相连	100
mqxl	民权西路	25
mqxl	毛嵌线螺	1
mqxsh	明清小说	1635
mqxsh	目前行驶	100
mqxsh	毛嫱西施	1
mqxt	密切协调	100
mqxt	幕墙系统	100
mqxthlzh	密芹纤体活力汁	1
mqxtph	密切协调配合	100
mqxx	没去学校	100
mqxy	迷情校园	100
mqxz	密切协作	5630
mqxz	猛禽小组	100
mqxz	马前小卒	55
mqy	某企业	23790
mqy	孟庆阳	176
mqy	马启越	173
mqy	马清运	100
mqy	没歧义	100
mqy	没启用	100
mqy	没钱呀	100
mqy	没钱养	100
mqy	没钱用	100
mqy	没签约	100
mqy	孟庆旸	100
mqy	孟轻影	100
mqy	眯起眼	100
mqy	勉强也	100
mqy	目前有	100
mqy	马泉营	81
mqy	万俟咏	1
mqybhqy	马前已被红旗引	1
mqyc	马泉营村	22
mqyd	民权运动	1910
mqyd	明枪易躲	880
mqyd	门球运动	280
mqyd	母亲运动	100
mqyf	满腔义愤	10
mqyf	冒切叶蜂	1
mqyj	目前已经	9667
mqyj	卖俏营奸	100
mqyj	卖俏迎奸	100
mqyj	眯起眼睛	100
mqyjg	没亲眼见过	100
mqyjshq	明确一件事情	100
mqyl	抹去眼泪	100
mqylsh	门前有流水	1
mqyly	眉欺杨柳叶	1
mqym	卖俏倚门	1
mqyq	明确要求	43100
mqysh	勉强用上	100
mqysh	鳗潜鱼属	1
mqysh	名倾一时	1
mqyw	贸迁有无	8
mqyz	卖妻鬻子	100
mqyz	名取裕子	1
mqyzh	米泉一中	191
mqyzh	米泉园蛛	1
mqz	煤气灶	6380
mqz	每千字	2785
mqz	马前卒	1985
mqz	马桥子	165
mqz	马钱子	137
mqz	面旗子	129
mqz	马秋子	100
mqz	没签字	100
mqz	没钱做	100
mqz	没去做	100
mqz	目前在	63
mqzb	买七赠八	100
mqzd	名气最大	1725
mqzh	免签证	2585
mqzh	煤气站	1145
mqzh	母权制	340
mqzh	麻丘镇	172
mqzh	麻雀在后	100
mqzh	麻雀战	100
mqzh	没气质	100
mqzh	没钱挣	100
mqzh	没钱治	100
mqzh	没钱赚	100
mqzh	没轻重	100
mqzh	没权重	100
mqzh	没抢着	65
mqzh	没求着	40
mqzh	没呛着	35
mqzh	没瞧着	10
mqzh	茫曲镇	6
mqzh	梅启照	1
mqzhb	没钱治病	100
mqzhb	母亲重病	100
mqzhch	明确指出	42880
mqzhch	卖俏争宠	100
mqzhd	煤气中毒	5635
mqzhd	盟旗制度	100
mqzhd	明确重点	100
mqzhdrw	明确重点任务	100
mqzhf	满清政府	100
mqzhf	没钱支付	100
mqzhg	目前这个	290
mqzhgc	冒起这个词	100
mqzhh	美区账号	100
mqzhl	没钱挣了	100
mqzhl	暮去朝来	100
mqzhlysg	暮去朝来颜色故	1
mqzhsh	密切注视	3145
mqzhw	免去职务	100
mqzhx	盲缺肢蜥	1
mqzhx	美芹之献	1
mqzhy	密切注意	9600
mqzhy	民权主义	1095
mqzhy	目前只有	72
mqzhycz	目前主要存在	1
mqzhzdch	目前正在调查	100
mqzhzh	麦丘之祝	1
mqzj	买七赠九	100
mqzj	马钱子碱	6
mqzjd	马桥子街道	119
mqzl	买七赠六	100
mqzm	门清自摸	5
mqzmb	没钱怎么办	100
mqzq	买七赠七	100
mqzr	明确责任	27175
mqzs	买七赠三	100
mqzs	买七赠四	100
mqzs	马钱子散	1
mqzsh	买七赠十	100
mqzw	买七赠五	100
mqzx	目前最新	760
mqzx	默契做戏	100
mqzxsh	目前在校生	100
mqzy	买七赠一	100
mqzy	没起作用	100
mqzyx	名取早耶香	100
mqzzh	木强则折	100
mr	默认	529996
mr	每日	500254
mr	美容	438405
mr	没人	242840
mr	名人	229485
mr	每人	206175
mr	买入	144700
mr	美人	141075
mr	某人	120960
mr	慕容	108495
mr	迷人	91625
mr	明日	90050
mr	猛然	76455
mr	面容	73970
mr	茫然	69930
mr	盲人	53595
mr	骂人	52190
mr	敏锐	50610
mr	母乳	32530
mr	某日	31235
mrb	美人豹	4980
mrb	没人报	747
mrb	名人榜	149
mrb	毛如柏	114
mrb	没人帮	100
mrb	美人榜	100
mrb	慕容博	14
mrb	慕容宝	6
mrb	慕容部	3
mrbchy	梦绕边城月	1
mrbd	末日病毒	100
mrbd	漠然不动	3
mrbdzz	骂人不带脏字	205
mrbf	每日备份	145
mrbgzzh	名人八卦杂志	100
mrbh	骂人不好	100
mrbh	美人不坏	1
mrbj	美容保健	9065
mrbj	末日逼近	130
mrbj	茫然不解	100
mrbj	名人百集	50
mrbl	面如白蜡	100
mrblkdch	美人不来空断肠	1
mrbm	默认编码	6753
mrbm	没人帮忙	100
mrbn	没人比你	9999
mrbn	没人逼你	1111
mrbqy	默认不启用	100
mrbs	靡日不思	6
mrbw	没人比我	100
mrbwg	没人比我更	100
mrbwgd	没人比我更懂	100
mrbx	每日步行	100
mrbxh	没人不喜欢	100
mrby	默然不语	2960
mrby	美容保养	1610
mrby	明日边缘	100
mrbz	明人不做	100
mrbzh	茫然不知	2115
mrbzh	懵然不知	100
mrbzh	面如白纸	100
mrbzh	盲人把烛	1
mrbzhd	没人不知道	100
mrbzhsc	茫然不知所措	3055
mrc	没人才	100
mrc	美仁村	1
mrcf	靡然从风	100
mrch	慕容垂	3700
mrch	没人查	100
mrch	没人唱	100
mrch	没人抄	100
mrch	没人吃	100
mrch	没人宠	100
mrch	没人出	100
mrch	没认出	100
mrch	没肉吃	100
mrch	慕容超	5
mrch	慕容冲	4
mrchf	靡然成风	1111
mrchf	慕容长风	100
mrchf	穆如春风	100
mrchh	面若春花	100
mrchl	没人处理	234
mrchl	没认出来	100
mrchm	美人迟暮	995
mrchn	没认出你	123
mrchng	美人出南国	1
mrchp	美容产品	9325
mrchq	明日传奇	100
mrchq	末日重启	100
mrchqsh	明日长桥上	1
mrchsh	明日重生	100
mrchsh	末日重生	100
mrchw	末日长袜	1
mrchx	盲人出行	100
mrchy	默认成员	25
mrchzh	每日充值	112
mrchzh	漠然处之	100
mrcsh	默认参数	7741
mrd	迷人的	86620
mrd	默认的	74930
mrd	敏锐的	54045
mrd	敏锐地	16125
mrd	茫然的	12520
mrd	美容店	10305
mrd	闷热的	6835
mrd	敏锐度	2255
mrd	蛮热的	1111
mrd	名人岛	174
mrd	没热度	100
mrd	没人打	100
mrd	没人带	100
mrd	没人点	100
mrd	没人懂	100
mrd	明日的	100
mrd	母乳代	100
mrd	末日盾	3
mrd	慕容德	3
mrd	末日刀	1
mrdb	末日地堡	100
mrdchj	敏锐的触觉	100
mrdchzh	鸣人的成长	100
mrdd	每日调度	100
mrddf	没人的地方	100
mrddf	迷人的地方	100
mrddkfsh	默认的打开方式	100
mrdfx	敏锐地发现	100
mrdg	明日帝国	725
mrdgj	闷热的感觉	100
mrdgj	敏锐的感觉	100
mrdgx	美容的功效	100
mrdh	骂人的话	2665
mrdh	迷人的海	35
mrdhz	没人带孩子	100
mrdjq	鸣人的假期	100
mrdjshw	没让大家失望	100
mrdkfsh	默认打开方式	100
mrdl	没人搭理	100
mrdljl	每日登录奖励	100
mrdlxly	漫绕东篱嗅落英	1
mrdm	迷人的美	135
mrdmg	某人的目光	100
mrdqsh	马乳带轻霜	1
mrdr	没人打扰	100
mrdshyxj	敏锐的商业嗅觉	100
mrdt	每日答题	121
mrdt	毛绒地毯	100
mrdt	闷热的天	100
mrdtq	闷热的天气	100
mrdw	美容大王	2645
mrdx	默认大小	4404
mrdx	埋入地下	1850
mrdx	迈入大学	100
mrdx	明日大雪	100
mrdxb	每日电讯报	1920
mrdxh	迷人的小红	100
mrdxj	敏锐的嗅觉	100
mrdyj	默认打印机	560
mrdyshd	敏锐地意识到	100
mrdz	没人点赞	100
mrdzh	默认地址	199
mrdzh	美容店长	100
mrdzhj	敏锐的直觉	100
mrf	毛人风	8080
mrf	美容法	2185
mrf	苗人凤	1855
mrf	名人坊	345
mrf	毛人凤	80
mrf	慕容复	27
mrfc	靡然风从	1111
mrfch	末日飞船	103
mrff	默认方法	1693
mrff	面如傅粉	100
mrff	面如敷粉	100
mrfg	明日方归	100
mrfj	茫然费解	1
mrfk	妈惹法克	100
mrfkx	妈惹法克侠	100
mrfl	默认分类	239
mrfmr	明日复明日	950
mrft	面如方田	1
mrfx	没人发现	100
mrfxw	没人发现我	100
mrfz	盲人犯罪	169
mrfzshc	每日发作数次	100
mrg	没人敢	9999
mrg	没人管	8425
mrg	美髯公	1420
mrg	美人关	1415
mrg	没人干	1111
mrg	没人跟	199
mrg	明日歌	170
mrg	莫瑞甘	164
mrg	没染过	100
mrg	每日管	7
mrg	美人沟	2
mrg	美人肝	1
mrg	蜜仁糕	1
mrgch	没人敢称	100
mrgch	名人广场	26
mrgch	明日广场	17
mrgchdy	没人敢称第一	100
mrgd	没人敢动	100
mrgdl	没人管得了	100
mrgdln	没人管得了你	100
mrgdlnl	没人管得了你了	100
mrgg	没人敢管	100
mrgg	没人管管	100
mrgh	明若观火	100
mrgj	没人敢接	100
mrgj	敏锐感觉	100
mrgj	名人故居	100
mrgjd	没人敢接的	100
mrgjh	美容工具化	1
mrgl	没人管了	100
mrgl	没人管理	100
mrgl	默认关了	100
mrglh	莫日格勒河	100
mrgm	没人敢买	100
mrgm	没人管吗	100
mrgm	面如槁木	100
mrgn	明日给你	100
mrgnq	没人跟你抢	100
mrgp	没人敢碰	100
mrgq	贸然过去	100
mrgq	没人敢去	100
mrgq	没人敢娶	100
mrgr	没人敢惹	100
mrgs	没人告诉	100
mrgsh	没人敢说	100
mrgsh	弥日亘时	1
mrgshdy	没人敢说第一	100
mrgshr	没人过生日	100
mrgshy	明日隔山岳	4
mrgt	明日给他	100
mrgt	明日给她	100
mrgw	明日给我	100
mrgwf	没人给我发	100
mrgx	每日更新	13805
mrgx	美容功效	2860
mrgx	美日关系	630
mrgx	没人关心	100
mrgx	明日高校	100
mrgy	面如冠玉	745
mrgy	美如冠玉	100
mrgyg	没人管一管	100
mrgz	毛绒公仔	100
mrgz	没人敢做	100
mrgzh	没人敢追	100
mrgzh	每人跟着	100
mrgzh	没人关注	100
mrgzhm	没人关注吗	100
mrgzhsh	默认构造函数	8206
mrh	猛如虎	9999
mrh	没任何	6845
mrh	美如画	1205
mrh	美日韩	890
mrh	没人喝	111
mrh	没然后	100
mrh	没人黑	100
mrh	没人哄	100
mrh	没人会	100
mrh	美人红	8
mrh	慕容皝	5
mrh	明日花	2
mrh	慕容泓	2
mrhbr	鸣人和博人	100
mrhc	名人荟萃	435
mrhcht	鸣人和雏田	100
mrhf	美容护肤	11650
mrhf	穆如和风	100
mrhh	明日黄花	2130
mrhh	渺如黄鹤	1
mrhh	邈若河汉	1
mrhhdych	明日黄花蝶也愁	1
mrhj	美人画卷	131
mrhj	没人喝酒	100
mrhjm	毛乳汉甲螨	1
mrhk	没人会看	100
mrhl	没然后了	100
mrhl	毛热火辣	1
mrhnd	没任何难度	100
mrhq	每日行情	100
mrhqd	明日何其多	520
mrhql	明日花绮罗	6666
mrhsh	蓦然回首	14425
mrhsh	命染黄沙	3
mrhsh	马入华山	1
mrhsh	邈若河山	1
mrht	面如灰土	100
mrhwt	没任何问题	100
mrhx	面若红霞	100
mrhx	末日回响	100
mrhxd	没人会想到	100
mrhxh	没人会喜欢	100
mrhxx	没人会相信	100
mrhxy	鸣人和小樱	100
mrhy	没人怀疑	100
mrhy	美容行业	100
mrhy	明仁花苑	100
mrhzh	美容化妆	15925
mrhzh	没人会在乎	100
mrhzhd	没人会知道	100
mrhzhp	美容化妆品	14530
mrhzhpx	美容化妆品学	1
mrhzy	没人会在意	100
mrhzzh	鸣人和佐助	100
mrhzzh	门人厚葬之	1
mrj	猛然间	9975
mrj	买入价	9795
mrj	美人计	8220
mrj	没人接	6595
mrj	美人蕉	3455
mrj	蓦然间	2465
mrj	麦乳精	2151
mrj	满人间	1975
mrj	媒染剂	650
mrj	没人进	300
mrj	每日价	150
mrj	明日酱	144
mrj	没人教	111
mrj	盲人节	100
mrj	昴日鸡	100
mrj	没人捡	100
mrj	美人尖	100
mrj	没人救	100
mrj	美容觉	100
mrj	明日见	100
mrjb	每日镜报	100
mrjd	没人记得	100
mrjd	明日就到	100
mrjdn	没人记得你	100
mrjdnm	没人记得你们	100
mrjdt	没人记得他	333
mrjdt	没人记得她	222
mrjdt	没人记得它	1
mrjdtm	没人记得他们	333
mrjdtm	没人记得她们	222
mrjdtm	没人记得它们	1
mrjdw	没人记得我	100
mrjdwm	没人记得我们	100
mrjf	美容减肥	1245
mrjg	美容机构	4595
mrjg	没人见过	100
mrjgj	默认结果集	8
mrjj	每日经济	15335
mrjjxw	每日经济新闻	2345
mrjk	美人蕉科	100
mrjl	每日奖励	100
mrjl	末日降临	100
mrjn	麻仁胶囊	2
mrjp	每日精品	665
mrjp	没人接盘	100
mrjsh	美人蕉属	100
mrjsh	默认加上	100
mrjsh	默认就是	100
mrjshkj	末日金属盔甲	6
mrjszhd	每日结算制度	89
mrjt	每日计提	220
mrjw	默认键位	100
mrjwl	明日见未来	6666
mrjx	每日精选	138
mrjx	弥日继夕	100
mrjzh	没人居住	100
mrjzh	面如金纸	100
mrjzh	末日将至	100
mrjzhch	默认就支持	100
mrjzhl	美人卷珠帘	3
mrk	没人看	3710
mrk	没让看	100
mrk	没人开	100
mrk	蜜蕊可	100
mrk	没入库	69
mrkb	没人看吧	100
mrkb	每日快报	100
mrkd	没人看到	100
mrkg	没人看过	100
mrkh	没人看好	100
mrkj	没人看见	100
mrkjw	没人看见我	100
mrkjwjl	没人看见我进来	100
mrkkl	默认开开了	100
mrkl	没人考虑	100
mrkl	默认开了	100
mrklg	没人考虑过	100
mrkq	明日开启	100
mrkq	默认开启	100
mrksh	没人可说	100
mrksh	邈如旷世	1
mrkydtn	没人可以代替你	100
mrl	名人录	9155
mrl	没人来	6640
mrl	没人理	3400
mrl	马如龙	2705
mrl	毛人龙	100
mrl	没人了	100
mrl	没人聊	100
mrl	没人领	100
mrl	缪瑞林	100
mrl	末日论	100
mrl	没肉了	50
mrl	慕容麟	4
mrl	马睿菈	1
mrlb	每日礼包	129
mrld	鸣人连弹	100
mrlh	没人理会	100
mrlh	每日立会	1
mrlj	没人来接	100
mrlj	没人理解	100
mrll	末日来临	765
mrll	没人聊聊	100
mrll	末日来了	100
mrllm	没人聊聊吗	100
mrllq	默认浏览器	1513
mrlm	没人来吗	100
mrlm	没人聊吗	100
mrlqp	梅蕊腊前破	2
mrlrch	麻仁鹿肉串	14
mrlsh	马如流水	1
mrlt	美容论坛	2295
mrlw	没人理我	100
mrlx	没人聊下	100
mrlx	每日例行	100
mrlx	末日来袭	100
mrlxb	明锐旅行版	100
mrlxch	明锐旅行车	100
mrlxm	没人聊下吗	100
mrly	末日乐园	100
mrly	弥日累夜	1
mrlyx	没人聊一下	100
mrlyxm	没人聊一下吗	100
mrm	美人梅	1540
mrm	摸乳门	466
mrm	焖肉面	122
mrm	没人骂	111
mrm	没人卖	111
mrm	没人脉	111
mrm	没让买	100
mrm	没人吗	100
mrm	没人买	100
mrm	没入门	100
mrm	美人面	3
mrmb	默认模板	100
mrmc	每人每次	3145
mrmf	美容美发	80180
mrmf	马肉米粉	653
mrmfd	美容美发店	100
mrmfhy	美容美发行业	100
mrmfw	美容美发网	138
mrmfxx	美容美发学校	100
mrmm	默认密码	9235
mrmn	每人每年	19245
mrmsh	妙人妙事	100
mrmsh	默认模式	100
mrmt	每人每天	19830
mrmt	美容美体	14685
mrmx	盲人摸象	2335
mrmx	名人明星	100
mrmy	没日没夜	7945
mrmy	名人名言	5715
mrmy	面如满月	405
mrmy	面如美玉	100
mrmy	没日没月	5
mrmy	没仁没义	1
mrmy	末日免疫	1
mrmyd	没日没夜地	100
mrmydgz	没日没夜的工作	100
mrmydjb	没日没夜的加班	100
mrmyl	名人名言录	100
mrmzh	盲人扪烛	100
mrmzhsc	茫然莫知所措	1
mrn	没人拿	100
mrn	没人能	100
mrn	美容女	100
mrnb	没人能比	100
mrnd	没人能懂	100
mrng	没人能管	100
mrngl	没人能管理	100
mrnj	没人能救	100
mrnsh	没人能说	100
mrnshqch	没人能说清楚	100
mrnxd	没人能想到	100
mrnz	没人拿走	100
mrnz	没人能做	100
mrnzd	没人能做到	100
mrnzh	面如凝脂	3
mrnzhd	没人能知道	100
mrp	美容品	5930
mrp	没人陪	1111
mrp	美人皮	100
mrp	没人品	100
mrp	媒人婆	100
mrp	孟瑞鹏	100
mrp	苗若芃	100
mrp	慕容平	45
mrpb	没人陪伴	100
mrpf	默认皮肤	171
mrpfkx	美容皮肤科学	3
mrpj	末日皮甲	3
mrpk	默然片刻	100
mrpl	默认频率	7225
mrpl	没人评论	100
mrpmll	媒人婆迷了路	100
mrpww	没人陪我玩	100
mrpxxx	美容培训学校	100
mrpz	美人坯子	100
mrpzh	默认配置	100
mrq	美容器	1500
mrq	明日起	177
mrq	没热情	145
mrq	买人气	100
mrq	卖人气	100
mrq	卖人情	100
mrq	没人气	100
mrq	美人妻	100
mrq	没人抢	100
mrq	没人请	100
mrq	没人娶	100
mrq	没人权	100
mrq	没人去	12
mrqd	每日签到	107
mrqdw	冒热气的碗	3333
mrqf	穆如清风	100
mrqg	磨揉迁革	1
mrqk	没人请客	100
mrqkx	默认情况下	100
mrqq	面容清癯	185
mrqr	名如其人	465
mrqw	没人情味	100
mrqxm	盲人骑瞎马	775
mrqy	媚如秋月	100
mrqy	默认启用	100
mrqy	默认区域	70
mrqy	谋如泉涌	1
mrr	毛茸茸	1625
mrrchrjn	麻仁润肠软胶囊	1
mrrchw	麻仁润肠丸	13
mrrd	毛茸茸的	8680
mrrhgyd	美人如花隔云端	9
mrrjn	麻仁软胶囊	4
mrrl	没人认领	100
mrrm	茫然若迷	1
mrrsh	没人认识	100
mrrsh	茫然若失	29
mrrshn	没人认识你	100
mrrshnm	没人认识你们	100
mrrsht	没人认识他	333
mrrsht	没人认识她	222
mrrsht	没人认识它	1
mrrshtm	没人认识他们	333
mrrshtm	没人认识她们	222
mrrshtm	没人认识它们	1
mrrshw	没让人失望	100
mrrshw	没人认识我	100
mrrshwm	没人认识我们	100
mrrw	每日任务	100
mrs	泌乳素	2410
mrs	马若松	100
mrs	买热搜	100
mrs	没人送	100
mrs	名人赛	100
mrs	麻仁酥	35
mrsblks	玛芮斯布鲁克丝	100
mrsf	每日算法	38
mrsf	命如丝发	1
mrsh	美容师	32570
mrsh	美容室	8110
mrsh	美容术	1950
mrsh	面如死灰	1860
mrsh	慕容氏	1780
mrsh	美乳霜	985
mrsh	没人时	625
mrsh	没认识	510
mrsh	没惹事	100
mrsh	没热水	100
mrsh	美人煞	100
mrsh	没人收	100
mrsh	没人说	100
mrsh	美容水	100
mrsh	面若死灰	100
mrsh	默认是	100
mrsh	猫人参	1
mrsh	慕容盛	1
mrshb	每日商报	3500
mrshb	马日事变	500
mrshbdd	骂人是不对的	100
mrshc	茫然失措	1715
mrshd	没认识的	100
mrshd	目如闪电	100
mrshf	靡然顺风	1
mrshg	没人收购	100
mrshg	末日曙光	100
mrshh	迈入社会	100
mrshh	没人说话	100
mrshh	邈若山河	100
mrshj	慕容世家	2275
mrshj	明日世界	148
mrshjk	默认数据库	735
mrshl	默认实例	15
mrshnsh	没人说你啥	100
mrshp	末日审判	1390
mrshp	美容圣品	100
mrshrf	默认输入法	100
mrshsh	美容手术	6100
mrshsh	美容时尚	1420
mrsht	末日手套	2
mrshx	美人师兄	192
mrshx	木人石心	100
mrshx	盲人说象	1
mrshy	默认首页	5265
mrshy	没人使用	100
mrshy	默认使用	100
mrshz	没人收走	100
mrshzh	默认设置	16705
mrshzh	漠然视之	915
mrshzh	没入水中	710
mrshzh	末日使者	100
mrsl	没人送礼	100
mrsl	泌乳素瘤	7
mrsm	毛瑞斯莫	11
mrsnch	玛瑞斯农场	1
mrsqsh	末日四骑士	100
mrsw	末日三问	116
mrsxwsh	每日三省吾身	100
mrsy	麻仁酥鸭	3
mrt	名人堂	6815
mrt	美容厅	2110
mrt	没人疼	1040
mrt	没人提	100
mrt	没人听	100
mrt	毛乳头	14
mrtd	没人疼的	100
mrth	面若桃花	835
mrth	面如桃花	670
mrtj	每日推荐	129
mrtk	末日头盔	5
mrtl	没人讨论	100
mrtq	没人同情	100
mrtq	末日铁拳	100
mrtr	没人投入	75
mrts	面如土色	2725
mrts	面如铁色	100
mrtshgwl	美人踏上歌舞来	1
mrtx	美若天仙	3635
mrtx	貌若天仙	1705
mrtx	没人提醒	100
mrtx	美人天下	100
mrtx	美如天仙	100
mrtzh	埋入土中	900
mrw	默认为	27670
mrw	美容网	7410
mrw	没任务	548
mrw	美人袜	100
mrw	没人玩	100
mrw	没人味	100
mrw	没人问	100
mrw	没入围	100
mrw	麻仁丸	16
mrwc	茫然无策	100
mrwc	茫然无措	100
mrwch	末日危城	15
mrwg	默认网关	4655
mrwh	没人问候	100
mrwj	毛绒玩具	11405
mrwj	茫然无计	100
mrwjgz	毛绒玩具公仔	100
mrwk	美容外科	6120
mrwkx	美容外科学	6
mrwl	默认网络	200
mrwq	明日我去	100
mrwqy	默认未启用	100
mrwsh	默然无声	100
mrww	莫若勿为	1831
mrwy	母乳喂养	20320
mrwy	默然无语	2185
mrwy	默然无言	100
mrwy	末日外衣	1
mrwyl	母乳喂养率	100
mrwz	冥然兀坐	8
mrwzh	茫然无知	100
mrwzh	懵然无知	33
mrx	敏锐性	7805
mrx	明日香	3265
mrx	没人性	2390
mrx	马仁兴	100
mrx	没人信	100
mrx	没人修	100
mrx	没人选	100
mrx	慕容萱	100
mrx	美容学	61
mrx	毛日乡	12
mrx	默认项	12
mrx	麦日乡	4
mrx	末日靴	3
mrx	慕容熙	2
mrx	墨瑞鳕	1
mrx	木绒乡	1
mrxb	每日新报	3960
mrxc	慕容雪村	273
mrxc	美人香草	19
mrxc	马榕新村	1
mrxch	每日行程	100
mrxch	明日新城	14
mrxd	贸然行动	100
mrxd	没人想到	100
mrxd	美容新地	20
mrxf	靡然向风	100
mrxf	末日先锋	2
mrxf	麦仁稀饭	1
mrxf	靡然乡风	1
mrxg	昴日星官	134
mrxh	盲人协会	811
mrxh	没人稀罕	100
mrxh	没人喜欢	100
mrxj	美人心机	1005
mrxj	美人心计	100
mrxj	每日限价	100
mrxj	敏锐嗅觉	100
mrxl	毛入学率	9680
mrxlx	美容心理学	4
mrxm	盲人瞎马	9999
mrxm	沫若香茗	10
mrxs	命若悬丝	100
mrxsh	贸然行事	1085
mrxt	没人心疼	100
mrxt	面热心跳	1
mrxw	每日新闻	4120
mrxx	盲人学校	100
mrxx	没人相信	100
mrxx	美容学校	100
mrxx	慕容晓晓	100
mrxy	名人效应	3550
mrxy	没人信呀	100
mrxy	没人性呀	100
mrxzh	目若悬珠	5
mrxzh	目如悬珠	1
mry	美容院	81410
mry	美人鱼	23885
mry	美容业	10175
mry	没人要	4885
mry	默认页	3440
mry	没人约	637
mry	美如玉	295
mry	玛瑞亚	179
mry	慕容嫣	134
mry	没人缘	111
