# 简拼索引（自动生成，改词库后重跑 scripts/gen-jianpin-index.py）
# 格式：编码	词	权重
bbkzhq	版本控制器	300
bbkzhxt	版本控制系统	5121
bbl	颁布了	41785
bbl	巴比伦	16250
bbl	并保留	15230
bbl	八百里	8685
bbl	帮不了	8095
bbl	背包里	7640
bbl	芭芭拉	7075
bbl	变不了	5890
bbl	半边脸	4420
bbl	变笨了	3333
bbl	办不了	3255
bbl	比不了	3055
bbl	包办了	2635
bbl	步兵旅	2390
bbl	拜拜了	2260
bbl	辨别力	1695
bbl	冰冰凉	1225
bbl	不便利	1130
bbl	霸榜了	1111
bbl	避不了	1050
bblb	八八〇八	100
bblb	八八六八	100
bblb	八百零八	45
bblbn	八八〇八年	100
bblbn	八八六八年	100
bblch	版本历程	100
bblf	白白浪费	6345
bblfchzh	办不了房产证	100
bblfl	白白浪费了	100
bblfzh	半保留复制	100
bblg	并不乐观	100
bblg	八宝梨罐	5
bblh	并不落后	100
bblhd	巴巴里海盗	100
bblj	并不了解	13365
bblj	八八〇九	100
bblj	八八六九	100
bblj	白不啦唧	100
bblj	逼逼两句	100
bblj	八百零九	15
bbljd	白不啦唧的	100
bbljn	八八〇九年	100
bbljn	八八六九年	100
bbljy	巴比伦纪元	16
bbll	奔波劳碌	1600
bbll	奔波劳累	1500
bbll	斑驳陆离	1220
bbll	半半拉拉	1111
bbll	冰冰凉凉	270
bbll	爸爸来了	100
bbll	八八〇〇	100
bbll	八八〇六	100
bbll	八八六〇	100
bbll	八八六六	100
bbll	宝宝来了	100
bbll	逼逼赖赖	100
bbll	比不了啦	100
bbll	炳炳烺烺	100
bbll	冰冰冷冷	100
bbll	八百零六	65
bbll	巴巴莱拉	1
bbll	半半路路	1
bbll	炳炳麟麟	1
bbll	波波碌碌	1
bblln	八八〇〇年	100
bblln	八八〇六年	100
bblln	八八六〇年	100
bblln	八八六六年	100
bblm	报备了吗	100
bblm	表白了吗	100
bblm	坂本龙马	34
bbln	拜拜嘞您	100
bbln	帮不了你	100
bblnl	拜拜了您嘞	100
bblq	八百零七	135
bblq	八八〇七	100
bblq	八八六七	100
bblq	𠳐𠳐两拳	100
bblq	笨不溜秋	100
bblqd	笨不溜秋蛋	100
bblqn	八八〇七年	100
bblqn	八八六七年	100
bblr	巴比伦人	800
bbls	巴巴罗萨	905
bbls	八八〇三	100
bbls	八八〇四	100
bbls	八八六三	100
bbls	八八六四	100
bbls	八百零四	40
bbls	八百零三	35
bblsh	八百六十	530
bblsh	白白流逝	230
bblsh	巴巴里狮	100
bblsh	叭叭两声	100
bblsh	不辨龙蛇	1
bblshb	八百六十八	10
bblshcsh	芭芭拉史翠姗	100
bblshj	八百六十九	10
bblshl	八百六十六	10
bblshmdm	帮不了什么大忙	100
bblshmm	帮不了什么忙	100
bblshq	八百六十七	15
bblshs	八八六十四	520
bblshs	板板六十四	100
bblshs	版版六十四	100
bblshs	八百六十三	20
bblshs	八百六十四	5
bblshw	八百六十万	50
bblshw	八百六十五	10
bblshy	八百六十一	1
bblsn	八八〇三年	100
bblsn	八八〇四年	100
bblsn	八八六三年	100
bblsn	八八六四年	100
bblsxd	巴巴罗萨行动	100
bblth	八百里太行	100
bblw	八八〇五	100
bblw	八八六五	100
bblw	别扒拉我	100
bblw	冰暴龙王	100
bblw	八百零五	30
bblwg	巴比伦王国	425
bblwn	八八〇五年	100
bblwn	八八六五年	100
bblx	并不理想	13930
bblx	背包旅行	650
bblx	包保联系	100
bblx	并不流行	100
bblx	不玻璃心	100
bblxdnl	被薜荔兮带女萝	1
bbly	八八〇一	100
bbly	八八六一	100
bbly	半部论语	100
bbly	必备良药	100
bbly	比不了呀	100
bbly	毕不了业	100
bbly	坂本龙一	55
bbly	八百零一	40
bbly	柏柏里羊	1
bblyd	被摆了一道	100
bblyn	八八〇一年	100
bblyn	八八六一年	100
bblyt	奔波了一天	100
bblyzhtx	半部论语治天下	210
bblz	巴布拉族	100
bblz	闭不了嘴	100
bbm	本部门	72885
bbm	帮帮忙	24095
bbm	本版面	8635
bbm	补报名	3025
bbm	比表面	1240
bbm	不帮忙	1165
bbm	笨笨猫	465
bbm	不保密	450
bbm	把编码	350
bbm	宝宝们	222
bbm	掰苞米	175
bbm	拔鼻毛	168
bbm	报不满	147
bbm	扒苞米	144
bbm	北鼻们	141
bbm	柏布马	101
bbm	把把脉	100
bbm	八百米	100
bbm	白不买	100
bbm	斑斑马	100
bbmb	滨边美波	106
bbmb	帮帮忙吧	100
bbmb	报表模板	100
bbmd	并不矛盾	7755
bbmf	并不麻烦	12
bbmg	百百目怪	100
bbmgj	本部门干警	68
bbmh	笔饱墨酣	100
bbmj	冰棒模具	100
bbml	鲍勃·马利	100
bbmm	爸爸妈妈	82850
bbmmd	爸爸妈妈的	100
bbmmm	爸爸妈妈们	172
bbmn	波霸美女	435
bbms	抱布贸丝	100
bbms	北兵马司	17
bbmsh	不变模式	312
bbmsh	八宝蜜食	4
bbmsht	北兵马司胡同	18
bbmx	并不明显	13735
bbmx	白坂美杏	6666
bbmz	苯并咪唑	820
bbmzlt	苯并咪唑啉酮	100
bbn	并不能	148775
bbn	并不难	26385
bbn	八八年	6170
bbn	八百年	3495
bbn	抱抱你	2460
bbn	败不馁	1245
bbn	波霸女	150
bbn	不保暖	131
bbn	帮帮你	124
bbn	比比鸟	100
bbn	便不能	100
bbn	表白呢	100
bbn	波布那	100
bbn	不别扭	100
bbn	不比你	64
bbn	柏邦妮	50
bbn	蚌埠南	1
bbnb	必不挠北	1
bbnch	波霸奶茶	3333
bbnchjh	白边拟槌角蝗	1
bbndbshm	并不能代表什么	100
bbng	巴不能够	100
bbnh	不比你好	133
bbnl	必备能力	825
bbnl	表白能力	100
bbnl	不逼你了	100
bbnm	不别扭吗	100
bbnmj	八宝糯米鸡	2
bbnn	白白嫩嫩	1810
bbnn	别别扭扭	1110
bbnp	并不难破	100
bbnr	峇峇娘惹	100
bbnsh	百变女神	100
bbnssh	并不能算是	100
bbnsw	布班尼斯瓦	100
bbnz	不被弄脏	100
bbnzh	八臂哪吒	100
bbnzh	蚌埠南站	100
bbnzh	鼻部囊肿	1
bbnzhj	并不能直接	100
bbp	别被喷	9999
bbp	必备品	5280
bbp	抱不平	4570
bbp	步兵排	445
bbp	百白破	103
bbp	摆不平	100
bbp	被扒皮	100
bbpl	别被骗了	100
bbpl	本报评论	25
bbpl	苯丙哌林	2
bbplhym	百白破联合疫苗	12
bbpp	白白胖胖	3915
bbpp	哔哔啪啪	100
bbpp	别抱琵琶	100
bbpq	版本排期	75
bbpslym	百白破三联疫苗	15
bbpx	宝宝爬行	100
bbpxd	宝宝爬行垫	100
bbpy	并不便宜	160
bbpym	百白破疫苗	169
bbpzh	并不偏重	100
bbq	北半球	11920
bbq	北碚区	8945
bbq	本版区	2525
bbq	八步区	1910
bbq	辨不清	1835
bbq	并不全	1820
bbq	背不起	355
bbq	办不起	230
bbq	保不齐	222
bbq	抱不起	150
bbq	比不起	140
bbq	摆不起	100
bbq	不避亲	100
bbq	包不起	40
bbq	半步桥	35
bbq	半边桥	14
bbq	保不起	12
bbq	半边旗	6
bbq	板板桥	3
bbqb	八八七八	100
bbqb	步兵骑兵	100
bbqbn	八八七八年	100
bbqch	并不清楚	10585
bbqcht	不必取长途	3
bbqf	补敝起废	1
bbqg	遍布全国	32565
bbqg	并不奇怪	5700
bbqg	宝贝球菇	100
bbqg	彪炳千古	100
bbqggd	遍布全国各地	100
bbqgy	并不奇怪呀	100
bbqht	半步桥胡同	6
bbqj	八八七九	100
bbqj	八宝前街	33
bbqj	半闭区间	3
bbqjn	八八七九年	100
bbql	白冰淇淋	194
